,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Bulgaria,-2.6717707573009624,-0.6910284087404197,0.23375207677600246,0.7858718763348046,-0.26538089481764415,-1.0955665635405158,-0.2540802522548153,-0.766577835545077,0.20682293330880863,-0.9512050944989533,0.1921909116994297,0.29430598586229223,0.1559462449208264,-0.05336104941418014,0.030803101989024716,-0.07758587205434442,-0.07544510277702629
Burkina Faso,4.005323758711644,0.070850209812017,0.2828287827518222,0.32076392768713347,-0.9428611911480451,-0.9134081174452571,-2.5173853013799827,0.7164186744290841,0.6300577198991736,0.2568897760312359,-0.36414663044755935,-0.5886494217879379,-0.3750461157000754,-0.28098026652528474,0.24342015364667433,-0.11294090255132866,0.22612379645908434
Burundi,3.3062032865788282,0.7451416933336468,0.7985659201489197,0.6926877050183752,-1.1293557393970235,-1.2599233004214734,-1.3232477811387908,0.5779978203095499,0.2863380931756383,0.3157365981086521,-0.10664790927416638,-0.4827264499175211,0.05139035316881426,0.08173859006723755,0.06086357075442231,-0.056917810629776376,-0.03484644791607041
Cabo Verde,-0.018378132482931506,1.648433689118151,-0.050667526620651236,-0.14914228642451544,-0.7480293162735967,-0.4736929786030436,0.7082138503515306,-0.39807799007932404,-0.2966667976902585,-0.08450293599107858,-0.7733133270607455,-0.40540636876357466,0.03310721977271474,0.03403913516925717,0.06651522416508587,-0.11454497199766361,-0.12580948763954894
Cambodia,2.848190274346745,1.2950193477377374,-0.8192137252836319,0.11975559321222261,-1.060128948220849,0.12501061645831457,-1.1189767782196092,-0.20164211011414127,-0.2644886522882929,0.057224109566397216,-0.19475168123190034,0.3935088370594107,0.07592188858583171,-0.07071904856381102,-0.08005487693684567,-0.051652112793537215,-0.21425745089384776
Cameroon,3.4037399959133,-0.6139644624687841,1.1611427923369253,0.4932865224634758,-0.0529915359502907,-0.5484670250366122,-0.36995392691010054,0.2599790128525963,0.6591035943720042,0.21829394237860716,0.3845276820571967,-0.22840718761933423,-0.11469151296877403,0.06112436512523242,-0.013179132504845818,0.023605367081259432,0.1273455870408041
Canada,-2.8763734956784655,-2.9373248735508244,-2.0541516956707024,0.4275359530221768,0.26822434087380265,1.1080565540776668,0.8409270624137558,-0.4835601011496539,-1.6584790807927656,-0.5245306243640607,0.26716543486976807,-1.9758064543367357,-0.27876068656069014,0.2652058382156763,0.1627521180697285,0.011384080538256274,0.05031969432169558
Central African Republic,6.989811132862211,-3.1391150303327624,-0.18183071948989024,-0.1496396336979507,0.09829588866951523,-0.20871340982159628,1.108160868538087,0.12445796433558078,-0.05898619873239073,0.06555290380985744,0.525089077271684,-0.08457315277535027,0.440445172658097,0.18382863099727298,-0.18937552725420032,0.18664150877986516,0.00857931352598518
Chad,7.280534207561096,-3.5289583172283714,-1.701660063402023,-0.941015400850937,-0.10652475828376791,-0.2222560547646483,1.44418833538783,0.016604234804943725,-0.49156020832654906,-0.06054299586919837,-0.08340083947214486,-0.02419437873002207,0.4354035641005613,-0.22559630813435746,0.05053616856355348,-0.10896914208528888,0.2689940690691289
Chile,-2.5794317212030915,0.12250480748581163,0.3997304830920223,-0.9351189459791382,0.5933925423065127,-0.22083470097040453,0.08236135462274846,-0.25062363258717374,0.08755041902569698,0.44967077105811953,-0.40440414923389917,0.15202809937181802,-0.27008076689036936,0.03246332839872811,-0.039741431412723335,0.08006274031392115,0.1326648701548301
China,-0.5612035901062059,3.061547162523527,-3.843005831172999,2.90573741056634,6.563044095069655,-2.7705776193579346,0.5669446012759156,2.952640920309034,-0.5796313773256808,0.011573151560787049,-0.5417966158584911,0.29219326322482103,0.035730862582466785,-0.05920952021131113,0.09285932067080267,-0.06197774790648702,-0.051673688401815306
Colombia,-0.9433421418644534,0.3086714377814686,0.08284341040303013,-0.9506482314753048,0.4509624186123002,-0.27472444832213616,-0.23557446078195735,0.033658050882993285,-0.3789638481942143,0.11365115411870164,-0.4628567464154802,0.2072769206981464,0.0825192037547193,0.001244847819473638,-0.08400796380859929,0.18540543322710204,0.08634650805504432
Comoros,2.8875482280648823,0.3190476995834466,-0.17623782326341525,-0.7429291445024874,-0.5974448504262209,-0.2021290625540453,-0.2936543563330687,0.5231552206573121,0.08470434331486702,-0.29257014556036925,0.2216234193901762,-0.3535583955177328,-0.07082206074337488,-0.027309430146305397,-0.0868285892420509,0.08270646132877361,-0.08919717940081705
"Congo, Dem. Rep.",4.716847813177747,-1.0114423752076114,-0.6548644618871066,0.11422270122245252,-0.4390282980695914,-0.8719423807440202,0.1527107246366582,0.28224964531094726,0.24977809224408723,0.31979891020855106,0.4145746099979794,0.3739288110837351,-0.4616902717015763,-0.12080851076126857,-0.06645517779448865,0.05564140795251314,-0.19677576208573044
"Congo, Rep.",3.653479478784065,-0.5129717016536393,-0.04036970622827858,0.08279635027433066,-0.20109290941711874,0.3489867371901683,0.22224757936474795,-0.2560102463651562,-0.28211058873860034,0.12059295664145137,0.3648218788757751,0.6541018470099221,0.5099633663854305,0.14765743487391095,0.09024152242606555,0.0502172457855869,-0.02059218679774848
Costa Rica,-1.781740371431889,0.30822141480619153,-0.022937644268117334,-1.2890030152311904,0.3462335469787918,0.1340844305534425,0.21741740555854386,-0.05619888736297362,-0.28266899349750596,0.09701767783443675,-0.47113444424179934,0.3134399036735678,-0.14840350261924634,0.08160287133893684,-0.052588385334587096,0.12007895471570444,0.14888872376682621
Cote d'Ivoire,4.323890272824218,-0.8251045465597356,0.8482218347304167,0.11161886217559086,-0.09874282067635594,-0.3792001081095853,-0.04341721249554536,0.5718415233097753,0.17917755101729838,-0.024315627328438064,0.5779884318351092,-0.5442202683818878,0.39855241907047073,0.03798444210985253,-0.18254885771660712,0.18269412875180152,0.000771172146697198
Croatia,-3.351783281905588,-0.6951478259118913,0.18229347211806013,0.7643053300799735,-0.3205161786860083,-1.0566304499426598,0.05921144290290824,-0.6801846028090889,0.3837087047309263,-0.8610795567456953,-0.15470673754295797,0.25735964392078237,0.046952216468238106,-0.04156770728239326,0.03541752624612396,-0.10274905467805516,-0.060845739872078856
Cuba,-2.079656072031018,1.099488302963335,0.18540796539064333,-0.64178469082675,0.07407049475261403,-0.1831681558421428,0.04197863720796521,-0.34193410185052603,-0.5997493440128069,0.37766785682914866,0.12943408269484166,0.5161407767453314,-0.29614248783445696,-0.2653374603003818,0.016734607451322103,0.0872994202642541,0.12803023478814965
Cyprus,-3.876441569629777,-0.9230252821765724,-0.19769183759615738,0.7293324682914805,-0.3992330296713932,-0.3808926922240594,-0.2629252286375815,-0.2494856427859517,0.20123543931836738,-0.6002379308169026,-0.1202181456182086,0.029063214615939387,-0.24125147401464048,-0.032010154212562425,0.04242752406448936,-0.09223547513074115,-0.029656654016327916
Czechia,-3.846539404686164,-0.7526017659136609,0.20598088772469228,1.1544592449235505,-0.2528362784610161,-0.9613478638564074,0.045136382931786775,-0.9246354953040112,0.5550911173185172,-0.5337330399437167,0.05075332387386866,0.12844507348120238,-0.11492884558360973,-0.031199909562975275,0.04421366171047467,-0.08811248999275118,-0.021663648719315757
Denmark,-3.7760015951957224,-1.6361953517772803,-0.7927170681403153,1.3708207568493451,-0.8527608593697165,0.26947718533684595,-0.05144350375010666,0.4473878701176329,-0.05619229833708601,0.36233970556265976,0.18412554234103765,0.21887142273246776,0.04231333500328823,-0.041267850682651375,0.0623615667948914,-0.03410258039052757,-0.08056235672920121
Djibouti,2.6692067634265264,0.020942787489562454,0.528262697232588,-0.7156219048178323,-0.42264103397233993,-0.6457252201783044,0.5330427549998722,0.7688196847097379,0.30634145184015543,-0.25258507412113895,0.0615375642480864,0.32270233245094093,0.19834178063940602,0.03666683205618589,-0.22546805183102908,0.12105530620951759,-0.234946889775939
Dominican Republic,-0.07305826284369514,-0.4142964239732635,-0.0033517582245508,-0.7451823709214951,0.3190313303663441,-0.21476321690106742,0.35607401421455714,-0.39647187383159604,-0.09352744833524158,0.20670301579938913,-0.46908912901109445,-0.010189644550248204,-0.10722190327112688,0.20531837317303758,-0.05203316431150901,0.12265216579026635,0.0020837334005905203
Ecuador,-1.203729847702493,-0.022034578161315675,0.20448002598622816,-1.2764064722712158,0.4880721622731419,-0.2857031297285853,0.35186980300534265,0.013021536385645373,-0.4541181563401932,0.02199376689994962,-0.35225850724803626,-0.045230067475310685,-0.04304446801478441,0.09484117374436646,-0.05850974776839197,0.10902646860069037,0.06892165959231214
"Egypt, Arab Rep.",-0.6599997545166725,1.1894522195847732,0.5703352163547533,-1.4830111793370575,0.921341386022154,0.5123502342696024,-0.9753624592648763,0.7175949019631036,0.6586588362237428,-0.6993995741378557,0.10112321843134699,-0.40585910509648193,0.10429975385165186,0.001403531503619333,-0.04886631726920123,0.034901243334313554,0.010695644953986741
El Salvador,-0.860312263334474,0.4573128466543457,0.8105019301066035,-1.340518709749528,0.4610319188878858,-0.17859414323381262,-0.0861170439243494,0.31340351680810175,-0.05957501380435372,-0.2570904288413531,-0.26920269239380307,-0.15730948864458713,0.468848449327165,0.05092951084923588,-0.10233826188424253,0.0928294415338747,0.045636838407684635
